x,y,feature_id,label,type
1035277.6043858678,8776094.443280432,55,catahua,slide
1035432.79029352,8776071.779484848,56,catahua,slide
1035456.4344943508,8776188.485409847,57,catahua,slide
1035686.4947522492,8776269.668377485,58,catahua,slide
1035630.837039284,8776313.687814305,59,catahua,slide
1035592.3687605232,8776341.151960481,60,catahua,slide
1035551.4623700664,8776390.335559646,61,catahua,slide
1035502.5236664326,8776135.648039375,62,catahua,slide
1035331.448233071,8776041.863287054,63,catahua,slide
1035288.317955664,8776159.074548334,64,catahua,slide
1035253.4273947388,8776422.31500107,65,catahua,slide
1035336.2865871192,8776398.13225682,66,catahua,slide
1035525.2638100972,8776457.240630561,67,catahua,slide
1035540.3949609116,8776580.845642967,68,catahua,slide
1035529.4904902686,8776534.718937993,69,catahua,slide
1036750.3256048724,8775552.363922358,70,copaiba,slide
1036841.5277510307,8775519.764059484,71,copaiba,slide
