id,label,x,y,final_status
640,estoraque,610027.3014526713,8753857.63845246,failed
641,estoraque,610000.8096643131,8753858.89252511,failed
642,estoraque,610054.7968314775,8753838.95615204,failed
643,estoraque,610007.3377115496,8753817.47478517,failed
644,estoraque,610104.8369790432,8753822.551227175,failed
645,estoraque,610100.3511387259,8753787.69688368,failed
646,estoraque,610041.6722310964,8753560.109445503,failed
647,estoraque,609796.5421541338,8753492.01554865,failed
676,estoraque,609637.1593442014,8753628.555885116,center
677,estoraque,609654.1693647751,8753680.285823653,center
678,estoraque,609668.283017452,8753725.71968526,center
679,estoraque,609900.0638374715,8753782.180522952,center
680,estoraque,609857.8224382862,8753783.147142252,center
628,caoba,611040.4005899891,8758747.119325235,failed
631,caoba,611023.4532540812,8758753.34430444,failed
